,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_44,7.57457079,1.99500277,2.34340846,2.55010419,3.53469964,3.5318258,3.49525731,2.95896078,3.76847241,3.71171597,2.30526565,2.2916357,4.69097045,47.46507486,4.87988549,7.23214145,51.14804062,3.48844717,3.86894463,5.39626983,3.26399944,0.48272148,2.83193952,4.55058103,8.50780931,46.15623517,43.36517477,6.47955045,1.83857924,3.81490781,8.3604421,8.3604421,8.3604421,6.09639929,2.08722863,9.04544806,9.75822781,3.22851869,3.08823007,3.01203896,3.60209348,3.87642585,4.09103778,3.6035967,3.3179731,5.68113559,1.52492719,2.67402102,5.54667152,4.52363253,3.22851869,3.41451115,3.32071851,3.25849892,5.28141936,4.64181338,2.96379757,2.38124472,2.41988942,3.85075494,2.15372544,3.12515975,4.93173465,34.55468592,49.8982611,1.80735729,3.50587893,3.09078156,3.47787222,2.59631589,8.57115419,2.38915402,3.56511971,0.50185427,5.62666596,2.33021744,2.60154231,2.8525461,3.17160353,2.58867721,3.65305133,2.3717956,3.84291108,9.19794716,3.74722449,6.10339688,6.98820662,6.23107115,6.37771763,6.98820662,5.89776107,43.31872118,6.52884545,4.77331228,5.06619671,0.27777365,0.16889538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_43,7.6064886,2.31544925,2.66890818,2.8974137,3.89465156,3.91380423,3.6778653,3.31342024,4.30705799,3.7044701,3.0772831,3.00221013,6.13237589,47.71284517,5.43956672,6.69938935,53.31705413,3.60031366,3.68818568,4.49461742,3.20493447,0.52183029,3.19978675,44.81765472,8.19251218,45.50057759,43.43699449,6.11633428,1.5536117,4.01074634,8.29477566,8.29477566,8.29477566,6.09639929,2.32116164,9.11298834,10.26419402,3.40378943,3.25513578,3.16355358,3.81150261,3.48796393,3.6992761,3.80937063,3.93724561,5.66853754,1.95182876,2.95926669,6.00557981,5.0117579,3.40378943,2.73068627,2.93433992,2.88269408,5.00110346,4.79456452,3.36329267,3.05134238,2.49941299,4.08202443,2.8279144,2.88510536,5.1636099,33.59161101,50.46004204,1.49013792,3.6042324,3.30172374,3.63863015,2.74313291,9.03961302,2.48311195,3.72646596,0.50493253,5.84628961,2.23073216,2.77341265,3.29317752,3.47254784,2.87738848,4.08540581,2.65365916,3.78417324,6.73813279,3.88195457,7.07193657,7.90077547,7.20782753,7.08984643,7.90077547,6.46768218,43.96332752,7.37892385,4.8304631,4.16297623,0.36660742,0.22683831,0.25163227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_42,3.19326015,2.94732196,3.4916307,3.03021069,4.58339628,4.6803897,4.12482816,3.64947838,4.14303613,4.2402796,2.46476166,2.4297487,4.85550962,2.7682245,7.5844432,30.21051398,6.98072079,3.89656288,8.21521453,3.81575095,5.40599712,0.97577739,3.80082767,5.30936734,5.37097588,41.41022704,23.50630064,8.58869299,1.84653896,4.42980155,9.18172345,9.18172345,9.18172345,8.25511173,2.04443088,9.59617505,8.98379023,2.63559797,2.22286797,2.60592214,2.85359483,3.23341825,3.47368322,3.17236594,4.59526874,6.47651126,2.05378016,3.28552905,43.60901688,3.60292091,2.63559797,3.93278373,3.77907382,3.77907382,5.37247135,4.46577454,4.41873424,2.43382331,4.53227643,4.01285511,3.84056124,3.84534829,5.43429092,40.09544789,49.91284554,1.03190793,3.54072954,2.88468358,4.71104264,2.26142829,7.09722113,3.65543201,2.82255921,0.74202406,5.49749439,1.62493527,2.9432675,2.78574171,2.75273047,3.39163538,2.78707233,2.56936999,3.95222464,3.80936607,4.37277512,4.40830256,5.7669634,4.48234242,5.36969281,5.7669634,5.97095872,24.44829142,6.18804122,6.33013128,7.60437525,0.29694817,0.29637992,0.38272473,0.48676273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_41,3.4197628,2.94732196,3.4916307,3.00697722,4.56586551,4.66205586,4.10468954,3.62767029,4.15272654,4.02397311,2.28781687,2.27280903,4.76812557,3.24854859,7.59201167,30.75160523,49.77427317,4.06263031,8.75003881,3.96115637,5.65951181,1.02339176,3.80082767,5.46962079,5.42078397,41.13324104,23.18420039,8.82405396,1.93004454,4.20373241,9.16235637,9.16235637,9.16235637,8.25511173,2.27107583,9.61205397,8.95595366,2.70295516,2.44696399,2.67431186,2.93835305,3.32529407,3.56987089,3.25879824,4.39729054,6.26973667,2.13162414,3.3849711,43.95975992,3.73056812,2.70295516,3.65639287,3.46621076,3.46621076,5.52045441,4.1575793,4.52580468,2.66564909,4.59938593,3.8189386,3.81811308,3.61067707,5.53301893,40.09544789,49.84278942,1.21483523,3.53229266,2.82845954,4.96558073,2.21897263,7.09722113,3.65543201,2.65982669,0.76785599,5.12858741,1.55924584,3.04575632,2.70354606,2.72954382,3.38328387,2.76587686,2.54356004,3.91487405,3.67336235,4.59301535,4.30860197,5.61635418,4.37637853,5.21572384,5.61635418,5.87374719,26.28684376,6.08808584,6.79100532,3.57264869,0.30663231,0.30949403,0.39942921,0.50825546,0.04339729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_40,2.6307089,0.79564556,0.79564556,2.46500829,2.56416643,2.46395207,2.60663182,2.74297645,3.09008135,1.75049832,1.94971459,1.99587291,50.51210386,54.51474062,6.79101673,12.79133838,57.9766474,3.89060157,5.8287908,5.98445335,6.46683745,2.47178707,8.01124503,48.90256793,6.07575045,55.05178657,48.47520693,5.40200995,2.76874128,2.35151871,53.13743358,53.34558483,53.10484849,8.44168641,49.51101047,54.07807174,50.85734918,3.47892326,3.31358233,3.16074223,3.8323052,3.42200217,3.52088108,3.74626399,3.93436278,4.85100337,1.67811294,2.10618209,12.54524699,54.08672336,3.47892326,0.90878864,0.90729386,0.89281169,3.32879184,7.84674295,6.05066033,2.58366824,4.03134868,8.27736095,4.2301528,2.89091186,6.29385904,47.52271404,18.7688752,3.78674937,36.12703431,2.93534595,4.56820373,3.22094721,48.80504637,4.76946219,7.35222033,2.57176673,2.14652374,6.56696165,6.75242558,6.2252894,6.768875,5.8120847,7.02178807,4.50024023,6.93108646,3.78550255,4.20998055,49.26951132,45.33418994,49.24804598,49.37404961,45.14196224,5.47564397,52.67410576,41.36145444,4.8641574,3.44342949,2.49364754,2.58407199,2.17387468,1.9903755,2.08483416,1.93543929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_39,5.9155379,3.1354973,3.1354973,3.60717004,3.14857239,2.96947557,3.05551836,3.2696314,2.17970117,3.21498837,3.07665018,3.36923033,48.67004459,4.37108691,49.33040851,1.56507707,2.28371172,2.55144951,2.09481022,3.78264314,2.94698792,4.69439032,2.22266145,4.25545924,1.38171832,5.32727554,53.46851328,7.96656773,3.42909012,2.61949956,11.08388703,11.04213663,11.39572069,47.85938581,2.50536905,54.23380539,6.94617177,2.81587381,2.8943269,2.20158222,2.79751605,2.56810372,2.56810372,2.88830412,7.32567636,4.33674384,4.6306846,7.73146893,4.98518403,7.15828937,2.81587381,2.94846389,3.32151324,3.12841176,2.61143443,3.03242647,6.68059799,1.41195214,50.53290467,5.86234553,2.22814195,0.85694077,5.47935,1.56380495,13.78633265,46.44669266,4.84224137,2.80684532,2.10540121,3.0990021,55.82540623,45.89031707,1.76905765,4.16704525,4.03439486,48.04094273,42.294201,51.90835665,50.25971209,49.77261044,9.52893467,42.64117289,3.54200062,5.8800356,5.67841945,54.85969871,54.94106686,54.85969871,54.85969871,54.91646495,52.0224395,2.4236753,53.62601917,5.04406746,45.6232019,4.11241951,4.32829708,4.32829708,4.90917954,46.59005119,47.46590038,7.56953409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_38,4.75970858,8.1005422,8.1005422,25.70689591,6.08594524,5.42729718,5.62089388,7.05470345,2.23133451,6.8025691,6.90526283,7.44336812,49.48951324,12.74766472,47.15620178,2.40858661,2.58912642,55.53764361,1.98817705,50.757213,10.39890005,46.12948371,10.66069352,43.94500128,1.56832091,42.05760294,53.68439229,11.4795757,4.78600836,2.5280884,10.75496024,10.70575081,11.14913341,45.27698081,2.50536905,53.18050767,4.91755447,25.48476327,25.08356936,19.93304736,7.45766613,6.20902875,6.20902875,7.9171548,3.79489099,8.32266981,53.50742723,20.25352478,9.16691246,6.97104932,25.48476327,6.73071406,6.74626791,6.68441483,2.33551896,5.39459801,6.91428992,2.79846999,50.81771088,11.3243681,1.75090953,0.70599172,58.03905784,0.76937875,13.78633265,46.14502076,30.32267974,20.21538369,2.96421556,23.29443114,56.21918906,45.89031707,5.52304734,46.99571383,2.69650429,48.03389228,40.34741121,52.33458003,49.55662196,48.93683291,10.45054641,39.5634293,40.04883631,13.63514742,54.61053562,54.65810227,55.06049538,54.65810227,54.65810227,55.06392191,52.34196305,4.68341814,53.62601917,5.11055442,39.75964089,47.25698142,6.80284607,48.10185077,48.26267757,47.39013239,47.4095195,6.77492026,0.45306115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_37,5.22990639,2.75514075,2.75514075,3.22702247,2.64824577,2.33802418,2.59063925,2.96671198,1.86533797,2.36150902,3.18506429,2.60571314,48.43423326,4.87384416,49.63431668,1.44141414,2.35111875,2.09969798,2.83703464,4.24698377,2.61144268,3.6591996,1.93512857,4.46259465,1.59172673,5.73723113,53.28524001,6.81453794,3.00206505,2.66893595,11.66205404,11.6175591,11.95062483,47.85938581,1.89112675,52.79072973,7.21099921,2.68522094,2.749239,2.0463939,2.68272103,2.4996832,2.4996832,2.75340638,6.05820329,4.98198887,7.12492102,5.14574026,3.64952517,7.25479469,2.68522094,3.12841176,3.12841176,2.87676261,2.47528636,2.6674833,7.06219171,1.69565437,50.55116747,5.69251027,2.19897468,1.3319318,7.52386274,1.40927215,30.84317952,46.18174583,3.44987211,2.29926696,1.7760591,2.75397956,55.87711212,44.77868569,1.34228965,3.65326162,4.07204581,52.87874301,42.76303716,52.21798004,50.36996507,50.02421335,10.44962821,43.19482043,3.03736195,7.19425442,7.11099088,54.93191625,55.01282229,54.93191625,54.93191625,54.99097576,52.21917352,2.79378277,53.74848693,3.96738142,46.04560891,3.60681149,3.81842377,3.81842377,4.53519109,6.96302349,?,9.57543147,0.15168635,0.54911633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_36,4.03325097,2.08662934,2.08662934,2.73877047,2.18415458,1.98930663,2.18241833,2.36796314,1.97583126,1.91214876,1.75415437,1.50861511,5.42720187,5.93298212,5.98761341,3.94231733,3.14705168,3.05354615,3.99539859,4.91980453,3.54005348,1.74607266,1.62432711,7.76533564,4.42654954,6.70906896,46.21683423,3.75583217,1.99522038,2.5853794,5.78469051,5.78469051,5.78469051,48.77829711,13.56651066,48.25382956,19.6282349,2.89009319,2.84900758,2.26072132,2.60571091,2.41901422,2.47552863,2.63163089,2.26897987,2.7893845,2.61097062,1.82985691,16.2070943,2.93669891,2.89009319,1.26509281,1.45760288,1.24084781,4.47674993,3.06181519,2.10853755,2.68271788,6.12647541,4.90901132,1.99383864,3.50577187,46.37401252,6.96186833,39.76381278,1.49526114,3.4374798,1.35327807,2.24139638,1.46899438,49.56997713,6.64500117,1.69179723,1.93263054,3.14673031,1.91398347,50.30590675,50.2431344,43.41031435,41.92906726,8.21905475,6.50587832,4.26869642,5.07346441,2.41002864,26.86800647,29.14035481,28.1034858,28.1034858,29.14035481,48.52988562,6.5128102,47.59467992,1.96863755,5.23706575,2.23464744,2.11029752,2.30002226,1.95087843,2.50854475,2.35466835,3.61413806,3.43945835,6.20437787,2.72065615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_35,2.36452807,2.5013002,2.5013002,2.08981153,2.08981153,2.08981153,2.08981153,2.08981153,1.8967707,2.08981153,2.08981153,2.08981153,2.37448917,2.98385395,42.03603815,4.76611465,1.23703225,1.65857091,2.07986438,2.73672586,1.16760805,2.27120864,2.06914405,1.12538745,1.57069919,1.0713019,2.87809818,15.55131693,1.53411084,2.21585037,2.72848083,2.72848083,2.72848083,43.10034079,8.55348946,54.57661058,49.79830291,1.20493898,1.20493898,1.20493898,1.28193703,1.69457968,1.69457968,1.32774814,32.60954363,4.17083802,3.48484105,3.81062283,1.89185077,50.43835112,1.20493898,2.57404927,2.5013002,2.5013002,9.62083847,3.21660324,3.28338547,1.56729244,46.25357484,2.0671245,6.11324667,?,3.64149824,6.94440706,?,40.76522695,2.63490904,1.26970343,2.84120369,1.26970343,49.716474,1.21795248,1.6243133,1.74379918,2.36452807,1.81626278,2.06236986,2.00543605,2.11317284,3.72009809,2.11317284,3.72009809,1.07647402,1.39189965,3.48484105,2.00252966,2.00252966,2.00252966,2.00252966,2.00252966,47.83433782,2.44331586,2.0164529,48.65571937,30.44505276,0.82793129,1.87443225,1.87443225,1.91526131,1.24229771,1.24229771,3.2622184,2.11839124,4.24278994,2.06334584,1.9546998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_34,6.30118633,3.64517411,3.81136794,4.22035279,4.23550591,4.19436791,4.16955573,3.67519988,4.28312299,4.07002144,3.61198412,3.59597934,45.22140475,43.30203171,2.65825765,2.21016235,4.19868822,9.48476355,8.60820878,6.90044718,7.76822957,12.32923618,3.15684772,44.41591436,4.89128522,43.13538092,45.60708086,3.20902605,5.02759783,10.20076484,5.67962114,5.67962114,5.67962114,4.32534061,5.38343088,49.53373329,20.85961101,5.51824918,5.32926766,5.51393253,4.75715524,3.82536779,3.88004732,4.91575785,4.85722665,3.65841439,7.77897961,4.63587973,44.56803864,4.75497013,5.51824918,3.27226176,3.36951785,3.36951785,2.12379763,2.54415521,2.61309082,7.37340795,7.19715023,5.98614444,3.02753238,4.87237886,50.50950825,5.33981803,7.58952167,11.12555864,10.7629108,6.4963566,2.72314094,4.21526688,45.4212453,20.42098578,5.03486126,6.70338208,8.53888234,3.94481754,13.48799,25.59355547,15.40546148,17.48181668,9.34366938,44.49014136,7.25344869,3.99477034,46.78606443,48.01165131,48.075031,48.15016057,48.17907177,48.075031,47.83355765,7.73951657,48.32382913,3.75046866,11.41187759,6.07422385,5.47210179,5.57951307,5.21141369,6.07273522,6.12413071,7.43435953,5.92109017,7.37712593,5.82779272,3.79323228,11.01230294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_33,4.95546801,3.20157851,3.20157851,5.32927078,3.70206235,4.23095051,3.64345834,4.49047059,5.43393349,2.3716253,4.13119085,3.64494164,41.14788512,9.22515472,2.90668424,0.24519119,3.65978933,7.49748992,14.18084359,50.91500677,8.05102718,7.66935152,3.97833716,5.27675513,9.27179209,7.70870622,53.16983423,3.93881001,3.72231633,3.53728196,7.22833937,7.22833937,7.22833937,3.26858987,54.39813515,12.69208571,7.72657275,6.06021598,5.87243579,5.92944643,5.48650982,4.21947677,4.33812437,5.58814571,8.88013266,8.84094743,50.94746091,6.52415115,23.38697771,6.31398825,6.06021598,2.2632771,2.49096253,2.20997936,2.6268898,5.05464378,7.20185049,4.70383688,4.10261119,8.96980812,3.76530278,2.96682041,54.66047012,2.82215878,3.323953,6.96682847,9.79906021,5.42000477,1.60868968,3.9887714,54.46154871,47.39392289,4.75512951,3.05181219,3.88075993,9.36151391,45.93137686,52.21853908,42.51086152,41.6940459,10.13651427,22.19684667,3.22898627,7.22731497,52.41054174,53.67945145,53.93441403,53.7069237,53.7069237,53.93441403,49.09652949,8.11864467,51.38872656,5.59073708,15.1770664,5.69454668,4.20688588,4.16741634,4.24219268,29.46615232,27.50139581,9.05962426,1.85119573,2.80565528,1.70400247,3.46969047,4.76611465,1.92386373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_32,53.43425722,54.46863374,54.02535619,43.56191348,40.9583871,40.21249819,38.34666845,44.82106354,38.48174523,39.82972304,48.06863359,48.37346045,10.83865846,3.69159376,4.94390261,55.68928594,38.47025464,16.45258697,40.45008964,49.04856533,12.38148006,4.86883393,6.05089999,53.40257255,54.58301285,52.99548033,47.7535054,52.99026605,5.25250565,52.97681139,3.97083923,3.92834504,3.82489509,6.25258494,5.28444196,9.86696077,8.20343823,53.11142852,53.1032971,52.94086495,53.48452173,53.5842614,53.61471414,53.46465048,52.70592116,52.47485984,52.32221636,50.9193711,5.55009875,50.87110165,53.24609939,34.49501128,41.77849276,36.82340367,50.17787314,6.15463848,14.63608311,53.3587853,7.93330304,13.282266,39.5477996,51.71496588,5.79434743,56.42033153,56.39613755,4.93532669,51.14760661,53.01121887,9.08788783,52.16705694,8.31647819,7.36885319,49.08096528,6.19200303,52.06988653,48.94945836,4.99058801,5.23421155,5.42649611,5.55220369,5.64427194,6.12767887,5.98871656,50.61157739,48.33802353,6.01762056,6.92670975,5.91241697,5.18662603,7.29402383,7.15398301,47.44996196,10.72277515,7.7332811,4.31981827,5.9062535,4.99042533,5.21973699,5.10288415,5.16334832,4.99074465,8.24429421,8.47098353,49.79741745,51.11827254,42.75009193,3.11282563,16.33334769,55.56828453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_31,46.57114042,5.80798377,7.02552087,3.93698747,4.44186196,3.97521853,3.90378987,4.472934,3.49166717,4.76875176,8.13554961,9.43857263,3.69087793,2.84475437,4.17873028,41.20504014,15.74095343,34.66570581,6.74822647,6.74438503,43.01469248,4.56982438,13.97896705,10.47584916,3.34073545,30.59353984,7.26133544,39.9332904,47.33854609,42.65469063,6.92831948,7.16967481,6.96402468,4.68655046,5.44136489,5.51679748,3.64297989,44.40082645,44.30350413,45.44730053,42.23744637,44.54143457,44.89577607,42.16052273,20.76587587,42.7038319,47.88501345,7.23121662,49.81498941,47.60046478,43.79703909,27.19499899,24.93732441,27.19499899,47.87063485,45.87028944,39.47914104,30.231558,3.26986241,3.55869898,41.02882256,49.3782938,4.22785775,46.86897614,5.01841508,3.41478658,2.89159489,31.2423168,30.96321448,43.64883155,1.92982521,2.59370402,46.59132014,3.62137787,47.92766651,0.91570107,0.89630767,0.98811875,0.11472077,0.46918812,0.15983374,0.31212162,3.84514636,2.67196903,41.82447393,2.76166467,2.19864681,2.61894003,2.3042316,2.6271556,2.68520789,4.76077756,2.76424597,47.61573027,2.77955847,2.16049298,3.04763472,3.28441298,3.67322308,2.44767779,2.41961115,7.32050606,50.25971209,49.32370271,50.36996507,43.60879602,2.11317284,45.67272181,42.51086152,5.53774557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_30,13.90223219,8.97248322,9.39351523,40.96999695,7.31112172,6.74800164,6.56138851,7.8226421,7.81557574,4.02033343,6.13455293,6.53199066,5.2230731,47.12885944,3.10039801,12.23350424,52.34927208,51.83326016,50.02121667,56.60804599,5.71690845,4.98399051,9.42440862,59.65165478,54.02999494,4.0417724,50.03649476,4.40337144,50.82093498,21.4340262,5.66598724,5.79518763,5.70921135,3.94742171,56.42948421,5.53557308,4.00438903,48.30929757,48.31905509,48.32983084,7.73441666,10.57404902,10.8394711,7.26646012,9.27321347,8.817549,8.8114412,76.67522072,8.97467502,51.44091592,48.15287702,6.81528606,6.65159482,6.77206569,48.17513785,47.07049176,10.43204369,53.89179024,3.03466007,4.60498826,10.16578117,54.10285114,5.96675534,16.30804861,5.59245928,4.4625289,46.59133366,48.70540129,7.71923112,51.24962245,4.20332195,4.50522245,46.31673375,6.5736653,15.09850261,8.1115142,0.69220756,0.77074584,1.2841143,2.0539962,1.17491231,1.4759375,3.23882392,3.01913111,51.59978823,4.48269279,3.56306858,4.42478349,3.86351303,3.84975659,3.19461914,11.22960592,3.92970425,29.09279875,2.90796228,5.87412826,5.47259722,4.50069236,4.93887603,5.93772663,5.97655277,7.84348133,13.10147233,14.7615293,13.76952595,10.05571692,2.78570092,7.73855779,11.54328217,5.73525282,1.37704737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_29,48.64016482,52.87582919,51.97522427,4.58339931,6.77877346,5.8836364,5.68284632,7.8413116,36.05437406,3.38220697,4.79896752,5.31944128,4.68288337,46.2773942,3.28844724,46.29769584,52.81039885,51.19898559,8.77495717,51.05237244,5.73572471,2.76569849,5.54639341,4.56802147,50.49398813,4.15180522,48.30307444,7.04689707,51.13375115,51.36594183,6.39851698,6.5411459,6.43031005,4.32119068,83.83855143,5.84794875,2.72114851,3.50175944,3.29310365,2.88281645,4.49685695,53.99573352,49.85001576,4.61779723,50.30702939,49.94726172,4.02118735,11.78950891,9.50301896,52.78270094,3.62715332,5.80903957,5.84860558,5.96162383,50.7998018,48.19081848,50.76677648,53.91276306,2.96212771,4.69681451,10.91318017,54.11449148,5.70066568,52.04619443,5.57770352,4.48075794,47.8179574,55.67119842,8.7099932,52.46050443,3.55606719,3.20780205,46.02034727,2.77412375,48.82423061,3.48499034,0.4670918,0.3828825,1.42578917,1.82832017,1.30568991,1.22586963,3.03103103,2.45991361,50.3725772,2.46140499,2.0349154,2.06252018,2.24070507,2.20704247,2.13829625,50.3432749,3.11220866,24.91391804,2.00606893,2.32902385,2.45384711,2.20896247,2.45064721,2.59303596,2.69578136,5.00780007,41.84469208,44.93178112,42.7190143,11.83313013,2.34713004,14.33372673,44.93933914,5.0822329,1.46820145,0.66467681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_28,46.87369928,5.80798377,7.02552087,3.93698747,4.44186196,3.97521853,3.90378987,4.472934,3.330626,4.48824254,7.10543563,8.3511192,3.62209691,3.51819826,4.17873028,41.20504014,15.94909844,35.65817106,7.3772579,6.59225936,40.83308852,4.41041024,8.898282,11.06729778,3.20403325,32.20662899,7.16051917,33.76839948,47.24571805,43.10462848,7.34449424,7.56328338,7.36530057,4.68655046,5.44136489,5.51679748,3.59290308,52.58010531,49.61421164,54.71902199,42.30935923,44.58136071,44.9325863,42.18041282,20.29380837,42.73801478,47.72578672,5.31550525,48.5869258,47.85493969,45.95799166,26.50464674,23.92435558,26.50464674,47.99662442,47.06901731,39.35148753,30.231558,3.21755331,3.36704106,41.02882256,49.50665775,4.22785775,46.86897614,5.01841508,3.18268864,2.89159489,31.1043756,30.96321448,43.6981789,1.92982521,2.59370402,46.78005104,3.62137787,48.1468888,0.86576234,0.9042446,0.92283298,0.11325867,0.40403693,0.1577016,0.29009095,3.71603972,2.61966813,41.30167785,2.72046108,2.19864681,2.57520112,2.27732772,2.6271556,2.63930205,5.86472641,2.76424597,47.65801889,2.77955847,2.16049298,2.82724055,3.1939843,3.55789901,2.44767779,2.41961115,7.0609544,50.25971209,49.45848244,50.36996507,43.25284306,2.11317284,45.67272181,42.51086152,5.56970125,0.03724564,1.2895296,1.38939708,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_27,46.29090815,7.60583096,10.44428111,3.57048672,4.68868863,4.2643549,4.1942639,4.75458725,4.46446473,2.5432333,4.4133845,4.93595081,4.37096184,2.58750842,3.72770168,45.716161,53.92811386,51.82496626,?,50.56160667,51.31708556,3.09491503,7.14290076,4.43094779,4.78377443,3.53506051,49.16474956,43.0144406,50.32304,50.78383702,4.73887675,4.89373737,4.81676047,4.43123273,55.97400777,5.93570825,3.19958766,2.98439723,2.82339238,2.96393365,3.5381158,4.79168336,6.72213139,3.89044581,50.13143761,49.8233784,53.26882232,4.4585102,47.03337084,51.70461954,3.08027513,3.89196006,4.00282285,4.04978892,50.29537298,47.67559358,6.6591854,53.85362342,3.4056409,5.01780969,12.05810539,53.53370903,6.09418141,52.27521595,5.49700004,3.20938063,4.29144053,48.60229851,9.24561182,51.53088968,2.89326157,3.58637153,43.54218857,3.05280211,47.51104047,3.26659837,0.08069314,0.31685934,1.07276336,1.74307194,1.12017622,1.23463599,2.6696439,2.29476986,51.41023067,2.64361328,2.09252292,2.24020876,2.14651978,2.27286763,2.0637138,49.50866288,2.79930217,34.33970642,2.28159856,2.58429516,2.49137267,2.51577862,2.68269349,2.79001636,2.89259608,6.64773782,42.294201,40.34741121,42.76303716,50.30590675,2.06236986,13.52739962,44.46259842,4.76922115,1.05907855,0.69056498,0.39930851,1.06649058,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_26,47.15061384,7.24695372,9.46655465,3.48009984,4.17077142,3.76474723,3.79411508,4.43837996,3.89554449,2.34479717,4.47604036,4.65674469,4.4598971,2.67404954,4.08658964,45.46874758,54.3445391,4.84681403,3.96967699,50.12222957,4.59813999,3.15944596,7.14290076,50.54898393,57.11599564,4.33773397,49.53050349,37.91347669,53.90673815,50.96323917,5.45056589,5.59749607,5.50481067,4.05183147,56.11537559,6.42922215,3.56708888,2.83843466,2.69105063,2.75892273,3.30295201,4.12471485,4.41747544,3.59525656,49.77864801,49.49136551,53.02819821,71.18162552,46.28476768,51.45233551,2.92505827,3.89196006,4.00282285,4.04978892,50.03725799,6.3699641,50.54824933,53.41527177,3.74610482,5.43170857,12.31772971,53.1553628,6.73214858,52.16440233,6.68459338,3.843029,4.11590102,11.87493833,8.36156699,55.31635716,2.68783059,4.11472156,41.49981602,3.89309203,48.54647626,2.99459825,0.15116775,0.40906781,1.21552322,2.00479518,1.27251724,1.39446187,2.59931843,2.40743433,50.9125984,2.98213348,2.42557596,2.62702569,2.45573379,2.62644776,2.41901612,49.14181373,3.3172327,32.2271257,2.28159856,3.02190593,2.71467765,2.79025907,2.91765989,3.24295016,3.34110297,7.25082239,42.19806666,40.24237785,42.63744302,49.84195322,2.06236986,12.34382835,45.60962572,5.56874526,1.20498775,0.95749771,0.64033699,1.21182181,0.17761496,,,,,,,,,,,,,,,,,,,,,,,,,
