,Sequence_198,Sequence_197,Sequence_196,Sequence_195,Sequence_194,Sequence_193,Sequence_192,Sequence_191,Sequence_190,Sequence_189,Sequence_188,Sequence_187,Sequence_186,Sequence_185,Sequence_184,Sequence_183,Sequence_182,Sequence_181,Sequence_180,Sequence_179,Sequence_178,Sequence_177,Sequence_176,Sequence_175,Sequence_174,Sequence_173,Sequence_172,Sequence_171,Sequence_170,Sequence_169,Sequence_168,Sequence_167,Sequence_166,Sequence_165,Sequence_164,Sequence_163,Sequence_162,Sequence_161,Sequence_160,Sequence_159,Sequence_158,Sequence_157,Sequence_156,Sequence_155,Sequence_154,Sequence_153,Sequence_152,Sequence_151,Sequence_150,Sequence_149,Sequence_148,Sequence_147,Sequence_146,Sequence_145,Sequence_144,Sequence_143,Sequence_142,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_27,2.17516638,56.21955765,50.29880155,2.38846602,7.06168411,4.85071048,6.27532871,8.31382179,11.75754236,45.42699526,29.51410025,10.32475344,6.04156125,46.78025148,21.41791918,3.42023634,4.4718616,9.55378413,2.26714985,3.57003513,7.40270863,49.78062707,45.01868905,7.78191742,4.40286799,6.17526098,5.28260046,5.03979555,4.29284246,4.53936877,5.48347059,4.61516721,4.28366179,8.1166537,10.25394015,3.52938614,14.65581837,5.66515708,5.55785965,2.28902144,1.94916794,2.0073182,46.32839123,48.47079727,5.97004666,14.63597969,3.13196562,4.27088866,4.85375638,4.87776731,5.65204366,5.67046943,5.58728656,6.6438198,3.17332285,2.11086637,52.72177351,4.70394622,11.19218785,4.13823383,53.1713036,53.09794718,5.15235407,53.00265103,6.17803845,4.72420726,9.31209569,3.09901546,7.53765952,4.50019556,7.37455363,5.10040458,5.25091564,6.92428649,75.010238,14.37717718,4.14490798,51.05233521,7.31057304,8.89632801,9.18865827,4.46893231,50.53860078,52.9275324,4.21059968,3.94947414,4.16020107,4.8102021,4.06484442,4.24100528,5.84068596,3.53580123,8.12488453,3.88598946,5.60184107,5.69581982,5.1704531,35.71630012,4.43912158,3.32956499,2.97918281,6.8662459,2.48002912,43.86374758,10.34616037,54.00877726,52.46967051,3.7245767,50.55237003,3.79409394,49.329559,52.46532555,4.68625963,3.07100608,51.21707138,50.97618567,12.24122933,6.37726442,52.01834467,49.21148425,48.9097013,48.22460256,10.37119364,3.01044645,51.5717428,23.67438353,12.30844511,4.63541533,20.98215592,47.97968471,18.38046718,6.91314429,6.55122372,48.22288499,6.88416206,49.33286754,48.18066105,51.30270759,50.26490205,50.2063249,53.6532237,9.86057566,10.03867118,54.06702289,48.0803108,47.17453928,49.5782429,50.78811501,49.16403431,51.05948921,50.97931559,49.27071192,48.62715587,48.62715587,5.24993935,49.47845033,3.67338997,11.40337878,49.10042444,11.15601347,52.99913241,52.06062252,52.03423611,50.50557237,16.07116752,11.77737219,51.87999655,8.68444525,8.30552561,53.18717781,3.18142387,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_26,22.05222666,5.3376863,50.09397721,3.45677018,8.08215593,7.16673031,43.99013406,3.46081171,43.77878895,50.92228309,49.72759565,8.28820945,2.41740842,2.28927199,6.07797717,43.86445487,37.59887493,27.95055141,43.8247157,11.02450578,3.48107679,3.10406852,9.61088565,47.98436532,50.79046325,47.21865826,3.23028767,2.80383719,11.87989657,43.87190552,43.6040368,42.12547763,46.30589896,54.73811121,86.53204251,5.76337893,48.84006391,8.24764395,40.26710497,10.7803306,12.51115158,34.12553806,51.21719812,51.70931176,46.73199855,2.66162833,6.04756521,7.02534137,48.32690541,4.90906423,5.16865609,5.24609292,5.30469981,47.43643873,7.66544215,7.56655753,9.78817703,48.48812938,54.65914506,5.89496292,10.92974784,10.78926654,5.03213077,57.20713896,7.90226615,4.74865133,45.85974439,4.52568969,13.51087358,15.27566109,7.04390169,47.10704648,45.7916294,2.91087688,19.55244274,5.81748076,7.71828867,8.55882161,7.00630537,48.77333995,40.62223804,6.03165962,17.93196081,53.15794607,7.8934968,7.5508193,9.51630899,52.28452197,9.71883917,10.03816555,10.20520039,42.88704945,20.73871231,45.93634959,8.51896368,8.57983271,49.75776399,42.69462827,12.93899851,7.31827218,9.41530557,11.18941288,8.10842882,4.71584911,8.06479444,7.98984652,54.32510557,5.43415303,52.22008744,5.93128812,48.40464884,9.84393181,9.90711313,24.87834929,46.92053914,52.07785862,9.94867994,17.37262791,47.4377863,22.31284363,18.98867101,22.78047802,50.34507209,14.16831047,7.26225916,14.90476222,51.71826819,12.83354869,52.0686807,17.92429985,16.92611731,48.73301428,49.69342216,52.41315906,5.82832582,50.863795,51.10883732,52.07020154,38.86195993,43.30644612,48.75790005,48.49348842,12.84690308,17.58172691,13.26625776,44.98868663,51.46164233,12.69569178,10.07883543,11.17488738,11.9111432,27.09635541,15.04150304,15.04150304,9.89765432,51.93394441,46.60287938,8.60147423,52.9342152,52.74953081,53.5729296,8.0372574,7.97527103,10.42916439,50.36964635,18.25474065,50.7489291,10.16969964,9.68755993,16.83204765,6.43277365,9.10419719,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_25,13.7958876,8.78176462,50.23525546,53.53223708,57.4021938,57.20371047,55.20428633,37.91068857,2.39420405,12.63343234,56.63143486,9.12782249,53.81520332,8.99584358,56.74145009,8.02295551,3.69913018,56.13285353,1.08180016,3.37881003,3.06319431,47.12073497,48.10585381,12.91633877,53.67107327,4.89796443,9.62300846,6.43645408,52.06838973,5.84844029,5.50857818,4.23188221,5.50207142,55.21003996,3.5340726,5.20704679,7.89175196,56.175144,5.41070307,7.59953189,6.22138826,6.4810252,55.04845429,54.03579829,52.59064729,2.99480025,2.29966739,2.31805539,5.99887752,4.73381251,3.2172892,3.28743411,3.26997182,6.69922521,50.0575144,49.64092619,51.7046048,54.93225662,49.24479397,10.01297008,52.09346595,52.2141926,1.86266935,54.44334258,8.90776915,4.86429935,52.97631844,49.90765921,55.28619358,3.88524166,50.89121988,3.50262595,4.59242438,8.94222455,53.84977296,48.45412232,3.89193908,46.85669197,31.32530718,4.87855762,53.81466255,3.45718501,55.4134389,54.72419646,44.5767785,44.73631466,4.20469293,3.21315673,4.46148341,4.17281391,4.18551329,4.80063971,4.57842138,5.50006659,7.20371643,7.51611032,5.35985193,8.45004238,14.83545252,54.67859611,6.84092557,7.12306357,52.12381571,6.33418637,55.05347826,54.82910371,52.87933912,48.35696789,53.53215792,51.7377448,52.32259466,54.58069645,6.07583342,6.71402771,60.36950077,5.65776261,52.23857686,5.27115399,51.86020186,52.39149351,52.34261962,52.55190531,51.27123549,50.84480218,52.21162939,52.07280736,50.60875211,51.41327382,8.17360477,53.53457953,54.6927384,51.46303773,5.43289523,4.95773108,4.19993104,6.35938246,5.61693605,4.46101867,12.1539526,50.32152631,53.71791262,51.35013201,52.85253348,55.0984337,4.90022613,3.78814376,22.04919568,51.76338667,51.96010064,3.96211006,4.01641202,53.18347481,52.33511107,52.33511107,5.47530242,5.26789515,8.50134461,50.61212046,52.25982884,53.09644681,50.6322044,51.67816372,51.66786428,?,51.02633079,50.63497922,13.90139228,9.51174894,10.14756785,19.94576227,4.30106076,9.56765894,50.28941495,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_24,50.04872798,54.57228067,5.96896623,46.19622725,6.26649841,5.96033389,46.53268781,48.54286772,50.03524485,0.9030343,1.59512072,50.23228214,55.49256541,48.63982763,4.83077929,8.24316651,45.97348309,54.80448987,47.12970306,8.48197925,49.08314125,3.61369513,5.38781383,52.33188053,49.00689004,8.42153389,7.67596627,5.82342843,53.78666307,7.42970719,47.54207662,49.33065013,7.38050893,53.39909437,40.35711588,20.19044456,6.06940972,5.48514301,17.18559543,53.73434805,53.7979891,49.32772799,5.10271552,5.48622239,7.29863539,48.39185631,5.49786321,7.48780228,48.29713678,46.39787372,43.4918088,38.67537997,39.69045421,8.66407757,53.2692353,52.95760792,52.35068129,6.73354162,4.84325848,55.52216625,10.9568934,10.87888427,47.42240978,9.73440883,49.7721701,50.48724375,51.85246815,39.17501985,6.88063476,52.57123565,49.86622043,7.53003281,50.52679297,23.51772869,7.34968039,51.44087911,12.99698337,48.49606069,41.93783153,6.05440658,9.41468433,52.18183646,9.1164733,9.1141744,51.23186847,51.2683137,53.56968178,53.47619099,53.78114503,53.59520712,53.18132232,8.7931566,8.63831634,6.41703434,53.11987851,53.18736451,53.39648255,30.74454919,34.37171361,54.29701807,51.78405546,52.05683278,52.45856924,51.47092451,5.95678565,5.88551355,51.96637948,?,12.2150979,51.76606186,7.58988693,10.82995269,3.37957836,52.30768995,12.46448285,48.94746915,9.59677385,5.64848556,8.213264,6.83145225,6.17526177,7.15330075,9.37507479,5.91411821,11.74433367,7.20757136,54.10040925,44.77680618,9.46888299,7.95906038,10.62604257,8.10390197,6.86914022,17.26204989,6.68548676,15.22677109,12.97824564,51.08463399,5.94716151,47.26258187,6.39018339,7.44971676,10.23931626,8.67448208,48.46499845,49.95204293,8.90636192,6.97442631,9.81561508,6.82510001,6.03156901,9.10941806,12.90348415,12.83429591,49.6592781,51.84724847,47.84974737,52.77722394,26.34741666,5.57710479,52.74038331,8.34269027,8.2768783,8.17872123,6.95509026,7.2299526,8.76425977,21.21016618,18.51226795,9.45162894,49.2150378,50.8334337,31.04227343,52.2076815,,,,,,,,,,,,,,,,,,,,,,,
Sequence_23,6.63258632,51.06634765,7.10248108,48.79846258,5.82250664,5.48619814,46.49163504,45.67242183,42.63991308,3.93535096,4.35889353,49.27099622,48.11283482,34.03397706,8.7695778,5.87875678,13.71813298,46.23769817,50.2908545,45.29470439,45.39761836,24.37848516,5.55061152,50.02822646,50.61553275,10.43390446,11.73422276,12.11499747,55.33407508,10.52191885,46.23937638,48.41698826,11.01105978,53.73738317,47.81006452,25.22992095,8.5080283,6.84792803,44.25523492,55.04015624,55.48729901,49.60583109,4.92507481,4.80026533,50.07204518,5.95503931,46.98452675,48.90754225,49.6886726,47.66084869,28.59168404,19.38500017,20.63084615,45.80183359,54.90245811,54.65108564,6.45259466,4.88789341,4.34327098,48.60600474,6.84474492,6.75550263,49.13228912,56.19467184,47.92365071,47.61396622,39.89063076,46.99881928,6.79108875,47.6550819,44.49638643,10.78263508,46.98526235,50.14868096,5.35782552,45.15688001,45.6141281,47.25482235,10.53005052,48.75142677,10.01298782,45.78995608,6.83604745,6.70521435,48.7761788,48.82413387,52.29495815,51.80304924,52.29434123,52.29812406,53.79544229,46.25346108,5.89357653,48.3048475,53.53144344,53.59779863,52.74725284,7.4391933,51.29035429,55.66774541,52.68048747,50.59421645,52.6493607,8.78199532,7.50628955,7.35865952,50.84175422,51.0837782,7.89218876,52.86737526,5.81587715,12.12811002,11.18822092,51.60379608,6.16616158,51.94925541,10.16144426,7.50018654,7.85238265,5.0785364,6.15865964,4.85537666,5.9974765,50.82574377,10.15235454,7.67383037,53.95305618,51.52159046,6.39859323,5.18303252,5.57939909,7.07824747,6.2473497,46.06868542,49.77415689,47.88807213,46.23141326,48.64508885,42.07324497,49.86299082,11.36146403,6.63113206,7.57830455,11.18886418,46.77269501,48.98476817,49.00171513,7.57687132,5.56727797,6.06756329,6.88338516,9.94807136,7.85209719,7.94272024,51.66277971,51.47491036,47.57915515,5.7936895,50.74815192,7.08716808,7.53792604,8.17275251,7.86940191,7.98820774,6.71776734,5.52459469,8.78295842,54.59390277,54.45663285,9.27100556,49.01168717,50.39066293,50.76483369,51.77178145,8.34006494,,,,,,,,,,,,,,,,,,,,,,
Sequence_22,5.46147178,55.88816096,50.87974734,2.59239963,4.30619985,3.94157815,4.58047153,48.0688214,7.69478926,7.5743126,7.1974379,45.8509597,20.51604189,47.59417795,7.12384024,5.7027572,2.11508704,21.95126016,3.13531884,3.70920028,43.62484047,9.45696689,47.25040531,7.36944403,3.88621231,47.38160764,47.73893051,48.60783522,4.32773585,48.03603197,44.45961411,43.738941,48.00989917,55.71895835,38.3604347,2.90850989,44.83038777,4.62404476,14.12599197,4.44414418,23.02805752,3.50309402,8.20968395,8.98715729,42.43230679,39.30232171,7.71781154,8.54662929,9.80818184,12.49157298,4.20209085,4.52216136,4.43715685,6.05609717,27.59452459,27.58870405,53.02928838,5.47958889,52.02812003,6.9540328,52.48584948,52.38557889,4.18049769,55.81737143,7.35188147,3.50566578,26.47309037,5.21109937,7.89956738,8.65859201,3.65915914,41.01960273,16.97191483,6.16315858,3.59672015,2.25110358,4.28250855,10.55549081,49.75965088,47.82153557,6.51294939,4.64618065,10.03918709,8.44984454,3.54335989,3.21263843,2.62829676,2.49059911,2.62335688,2.64695759,52.00340663,52.87971958,9.9056714,42.5354842,5.85906229,6.16802124,29.73879149,12.14987737,41.26988792,26.55534762,53.18115018,51.14763654,52.7464603,10.77293439,4.48445756,4.26100384,4.46589678,3.31969841,9.01742643,53.56433502,5.80819304,9.45755715,7.12989076,7.11748798,43.83350373,48.52583692,8.43603431,5.89954966,5.47075487,5.27464927,5.08423749,5.88924687,9.23904935,3.66018215,6.76005439,6.58468825,52.41214757,49.58341453,11.20561175,9.72985673,8.21153175,7.65073369,6.35431694,10.64777193,20.39065356,8.85315693,9.8605997,4.68024779,7.30638556,5.99022504,9.16729248,8.57498162,9.61639707,6.83710319,45.53181399,7.88759073,4.0344981,5.2943646,13.48142172,4.93637591,6.84759798,9.14775374,9.82109035,9.74602563,50.92239765,48.95720611,25.42857614,49.61389436,51.87124167,9.15363274,28.15657501,7.90911917,7.4704555,7.06927918,8.20928921,26.62470648,4.17007381,52.31953353,52.41388324,5.14776216,30.26869457,10.21919856,48.46067887,52.76899129,8.1683461,10.061949,,,,,,,,,,,,,,,,,,,,,
Sequence_21,5.46147178,55.88816096,50.87974734,2.59239963,4.30619985,3.94157815,4.58047153,48.0688214,7.69478926,7.5743126,7.1974379,45.8509597,20.51604189,47.59417795,7.12384024,5.7027572,2.11508704,21.95126016,3.13531884,3.70920028,43.62484047,9.45696689,47.25040531,7.36944403,3.88621231,47.38160764,47.73893051,48.60783522,4.32773585,48.03603197,44.45961411,43.738941,48.00989917,55.71895835,38.3604347,2.90850989,44.83038777,4.62404476,14.12599197,4.44414418,23.02805752,3.50309402,8.20968395,8.98715729,42.43230679,39.30232171,7.71781154,8.54662929,9.80818184,12.49157298,4.20209085,4.52216136,4.43715685,6.05609717,27.59452459,27.58870405,53.02928838,5.47958889,52.02565009,6.9540328,52.48584948,52.38557889,4.18049769,55.81737143,7.35188147,3.50566578,26.47309037,5.21109937,7.89956738,8.65859201,3.65915914,41.01960273,16.97191483,6.16315858,3.59672015,2.25110358,4.28250855,10.51368585,49.75965088,47.82153557,6.51294939,4.64618065,10.03918709,8.89804358,3.26829655,2.9813026,2.45919707,2.33701437,2.45118132,2.46795903,52.15258712,52.87971958,9.88368542,42.46088757,5.85906229,6.16802124,30.05606709,13.52204576,40.76898214,26.55534762,53.18334538,51.12400056,52.73770816,10.77293439,4.30856798,4.09017687,4.40023075,3.72984469,9.49179344,53.56830737,5.77621425,9.2283279,6.41969351,7.02959395,43.86008191,48.52959818,8.40108875,5.90472507,5.51211596,5.06213326,4.89845979,5.66212774,9.25654926,3.48406226,6.79027695,6.62150662,52.42010775,49.49217963,10.92535462,9.49085021,8.22837217,7.3684219,6.39046582,10.32377295,20.00277907,8.67150489,9.53350123,4.58176279,7.17888329,6.62905934,9.14097921,8.29989448,9.32994333,6.44695296,45.59476666,7.3991584,3.83659079,5.1493699,13.26035419,4.41381625,6.2393601,9.50666575,10.03186471,9.96152107,50.90377271,48.96596523,25.85636686,49.61558633,51.87715815,9.05854696,26.84122063,7.90608106,7.46908509,6.96975232,7.94567315,26.69935658,4.01671921,52.32548516,52.41997464,4.93516958,28.24635325,9.83795353,48.40811036,52.78155326,8.17521368,10.11885144,0.02078807,,,,,,,,,,,,,,,,,,,,
Sequence_20,5.38951307,55.67229139,6.10277153,3.08143262,49.66771067,48.37452025,16.52492681,2.72744952,11.74513963,50.67481505,49.22181103,39.53715618,4.39174817,7.31274984,8.60459376,23.49129953,6.77488381,6.82451181,2.13827846,4.20000678,6.51539648,50.04110122,4.18417193,39.26003303,33.43722082,4.48816964,5.07888861,4.37368358,49.42118232,4.17801261,6.6678957,7.07917475,4.15276047,12.24115795,8.40597493,5.68469781,5.25166539,48.63620571,5.32644431,48.95226455,48.36014175,9.52550502,49.96643855,50.82329848,28.9718134,38.61122255,2.26225093,2.3068983,40.77190938,9.56541935,6.65430434,6.09401443,6.20125652,12.8760478,46.14762027,46.21973895,51.90140138,40.68852563,5.75905392,8.41301108,52.22952402,52.16443924,3.487872,55.54779585,6.68109565,4.46492255,3.12201383,5.22084116,48.75747897,5.50213464,4.86920738,4.44308011,6.59400406,5.86736233,5.89890719,3.65600537,3.39372643,8.26599593,6.13970884,4.19728201,5.48026282,3.33277424,45.4295113,52.38199469,40.59437601,40.73775881,48.92112224,6.13145506,48.48487936,48.31528077,50.68191721,6.50832333,48.81983069,6.5420605,50.09247986,49.95514329,55.07091827,16.61336562,47.26955032,50.83613394,7.38330421,46.41088573,8.94869702,42.46839451,8.92465216,8.87822395,50.45078437,6.32070181,50.22371158,8.35017924,40.79127287,51.81325041,2.53555978,6.61541633,5.53641055,49.70100575,47.41519547,48.58434407,44.53944236,38.87105352,14.02924962,16.14612162,46.29178963,9.73413737,46.81108534,44.86347233,50.63506938,12.92646239,45.74092225,45.33830307,52.86906708,43.4233537,4.4377746,44.32101013,41.98212317,42.56655374,44.60873388,4.26529408,4.35423607,44.79240537,50.806962,44.68103156,49.22635262,51.09760107,6.99171953,3.96884892,13.43138524,45.99682077,7.70001603,4.88869606,3.98842414,8.34430125,45.12026003,45.0634456,44.09404275,48.37870336,4.33124182,45.06001234,4.77738371,11.73040097,10.87633052,43.00727054,42.58583457,38.94713259,43.89947598,43.71660774,52.79159973,51.17466548,51.23125946,53.22428507,39.26261449,3.36103414,8.59198394,5.43368774,4.68950442,11.56586294,5.50435894,5.45942792,,,,,,,,,,,,,,,,,,,
Sequence_19,49.01154358,58.26554683,48.14300235,47.31920733,3.22490336,2.71721903,49.31780834,52.30367376,47.1519859,7.2821348,7.26357135,50.51707639,50.0158027,50.51610781,8.04718609,13.01147616,2.06208317,49.72653012,7.57712874,?,3.21778494,33.21444067,49.7393283,45.85499907,11.30984713,48.63790992,43.1596977,47.4660974,53.77654551,46.25839407,49.05030621,48.48906782,45.84407453,9.91770448,47.43353876,3.97865717,49.78110956,3.28072786,45.73268828,53.03495146,53.50334237,64.86526378,3.15242012,4.38442197,3.32757493,53.07124948,11.07693751,13.28570862,54.31095506,54.27218443,54.24353893,54.72942008,54.46379633,49.04178414,52.47455317,52.9329233,9.67969528,5.31521612,5.33441044,48.24214359,10.09160736,10.05053838,53.83640899,8.22121143,49.08328126,53.97305236,54.25057193,7.76012575,8.17812051,53.27648981,4.75024074,53.08294949,49.86355611,53.37984101,7.16164729,40.62928591,42.6811856,13.26231948,17.85487439,52.98924794,6.98929479,54.00449787,7.66713572,5.03578169,49.81183975,49.86376032,5.82967611,5.41578843,5.19500327,5.66736505,51.59086041,9.32418045,9.34562237,49.98657442,5.2079537,5.36367472,51.93210071,50.15897519,7.13894585,55.11857592,51.70991027,52.00123302,51.39431768,51.66084801,7.51555458,7.39241379,6.17832565,52.54900841,11.83480397,52.11083585,7.97923252,8.45882373,10.77643042,6.37276334,8.0188447,7.41245995,6.36880168,8.01220309,5.8696577,6.51214605,5.8837945,7.9754413,8.46024914,52.3492217,8.08059121,8.25451201,7.82532035,11.24321114,13.01604303,10.49548116,5.32142663,11.29338577,6.36891631,49.53368604,20.23726748,49.71908999,49.57285622,51.66230006,49.96961177,51.38558412,6.34705398,10.33785558,12.8830907,12.07064779,13.62973669,48.14036413,49.00588443,10.15417468,12.09012014,45.83555911,45.66414665,8.00327777,5.66389989,5.75715923,52.53177648,8.32303125,50.52323784,53.10053756,40.89744629,8.6223398,8.72345658,8.52710742,8.4270669,7.90935001,11.6653877,49.86455399,11.6753431,6.50080691,6.93847259,12.61307753,37.1789617,52.19708662,52.96925568,51.7889312,7.60878794,9.69446099,5.58706569,6.16535394,4.77745359,,,,,,,,,,,,,,,,,,
Sequence_18,5.78537824,34.95468427,48.74320764,7.44744094,51.45006716,50.0960083,10.13238469,42.21782695,2.74508662,5.87235774,8.03810012,3.52094978,4.41017801,4.08548386,47.93886672,42.50349594,2.00052548,3.51681559,2.04509136,2.80066393,2.79336609,48.17765413,43.59728194,2.68340389,41.47361358,2.1430212,3.29460845,5.01203689,4.02087801,2.6996487,2.33433241,1.68600461,2.44035465,51.81262547,4.41055906,3.64122369,3.72024169,49.3220051,2.49727364,3.74332806,2.80697448,3.17142505,49.60548894,48.54789038,44.44040071,39.87923423,3.03021302,3.04347214,5.47593025,4.7074789,2.26855896,2.27111403,2.42489563,2.64270078,6.87501031,3.64347124,53.19453282,5.62452573,4.33093281,34.29709845,53.50356791,53.67436312,5.31221415,53.71903868,1.57817168,2.78776224,4.9524119,3.38686469,42.28062624,2.45177005,1.69115943,2.44535897,4.21027946,4.1352532,3.54421846,5.6532376,2.56992484,19.30627391,6.33177993,4.44835057,7.83072058,3.91325065,51.95564999,52.79656767,2.65438767,2.79450386,3.67694852,4.62489149,3.94829971,3.64635735,4.17147766,5.52277757,8.55568711,3.51443626,3.29027721,3.45851693,2.67612543,4.34748084,46.86123905,5.92545496,1.83570386,43.83575599,1.94723215,46.68375056,40.38173185,39.1930994,2.28828558,11.37325149,52.79309076,2.59268395,46.46840821,53.34730554,3.52596239,3.19972114,4.98875426,6.94490941,47.49059706,7.61583333,44.22560701,48.79576361,48.47711232,48.57375666,47.44019099,6.94241421,49.14025862,34.47446314,47.83841054,13.21610153,45.00221847,51.57624445,50.20173686,46.29723925,44.72954466,45.45789255,11.45951182,42.89978079,45.40021415,47.28472948,6.79999767,4.48765599,49.77240394,18.12239458,17.82591011,53.05642379,4.28989585,5.47671128,6.76006385,42.53136741,9.0460111,5.01498303,5.07907661,49.89494526,49.817399,49.817399,32.24607121,45.98288917,2.96607809,8.70814728,50.17119274,7.02316556,50.15423386,11.64471827,10.61875903,7.50052388,44.94051843,4.74721837,12.53131458,45.98564561,45.82409195,14.85080329,6.51992419,4.8981045,6.36519935,3.79103918,47.36776438,49.51606857,49.27223381,49.27778786,8.12464981,48.38161561,,,,,,,,,,,,,,,,,
Sequence_17,32.05180049,3.69779549,51.81472398,48.66918917,51.03434849,50.08027506,43.79636075,8.19637061,8.13184505,4.90359994,42.38012964,13.17369043,44.55458104,10.03221929,48.06236633,44.67024164,37.15258045,43.27513901,52.05919761,52.55768915,24.96533265,43.25242368,49.67837677,6.16028504,47.42815919,40.76465696,13.59855985,18.71140813,13.52845458,45.65963357,13.61283451,11.29540539,45.5679174,23.16153648,43.69749776,4.95872124,8.64355368,48.67701656,10.06071423,13.20047537,13.39175377,46.78159493,6.51330367,4.47534173,49.46921713,6.1804903,11.61831937,14.95172653,53.3931235,52.91827092,6.09818441,6.05929598,6.16346886,47.63321108,11.78560455,12.61242582,5.28317172,6.54687587,7.13678211,47.23073392,5.68784148,5.59565518,52.9945232,4.85181278,49.97835917,53.36217583,52.70164472,54.11339217,56.11271639,52.29462878,13.00039714,9.17251614,50.2016771,52.81832433,6.19089178,12.67622989,43.10711499,4.33991605,15.63984265,52.05316674,48.65150356,10.16864857,10.08319152,21.06031919,49.99090815,50.01375028,5.1990247,3.87510297,5.18230053,5.20952772,37.5497782,46.93846936,6.29668652,49.15392892,6.26995439,6.33253616,8.57784981,5.6214523,20.12667962,16.40069989,45.31825838,52.5346064,45.78139372,4.34506485,7.07597475,6.9593605,6.96354678,50.57579687,11.95607925,48.81698697,9.68486597,48.4276163,5.41010816,50.24745338,9.8035683,7.61560036,52.34789266,8.14560148,8.20611206,8.37295041,8.69192121,9.63489304,48.62800368,50.75591036,49.6771967,6.7305645,5.10475149,49.89520819,50.82024182,51.00515262,7.81386235,24.82454383,7.56224091,7.68089467,10.30190863,8.75180746,7.68089467,51.66067635,51.05568315,51.22290644,51.46829363,23.108788,51.92452063,29.93668336,7.62690576,48.87502655,8.84495727,5.84552239,7.09434437,6.88305885,6.88305885,21.44242414,10.81191991,10.81191991,50.00896488,55.07482825,50.31682728,50.57888116,48.22578398,51.92588384,7.77191655,43.74048161,13.53926505,10.18336103,51.94433545,9.86464357,28.5825686,6.87399988,6.37534877,46.25816366,44.13100447,49.21341278,9.56203934,8.26757773,53.45085891,3.70116454,52.25651792,52.36570451,48.67386803,8.12742149,46.4819383,,,,,,,,,,,,,,,,
